xorg-fonts-encodings 1.1.0-2
xorg-server 21.1.24-1
xorg-server-common 21.1.24-1
xorg-setxkbmap 1.3.5-1
xorg-xauth 1.1.5-1
xorg-xdpyinfo 1.4.0-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.5.0-1
xorg-xmodmap 1.0.12-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.4-1
xorg-xrdb 1.2.3-1
xorg-xset 1.2.6-1
xorgproto 2025.1-1
xss-lock 0.4.0-1
xvidcore 1.3.7-4
xxhash 0.8.3-1
xz 5.8.3-1
yajl 2.1.0-7
yay 13.0.1-1
zenity 4.2.2-1
zeromq 4.3.5-3
zimg 3.0.6-2
zip 3.0-14
zix 0.8.2-1
zlib 1:1.3.2-3
zlib-ng 2.3.3-1
zstd 1.5.7-3
zziplib 0.13.80-1
